datetime,ticker,close,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2023-06-09,^GSPC,4298.85986328125,4201.7965087890625,4075.685506122477,4327.907511455648,0,0,0,0,0,0,0
2023-06-12,^GSPC,4338.93017578125,4212.539013671875,4077.9818847176784,4347.096142626072,0,0,0,0,0,0,0
2023-06-13,^GSPC,4369.009765625,4224.175512695312,4077.6643932204724,4370.686632170152,0,0,0,0,0,0,0
2023-06-14,^GSPC,4372.58984375,4237.310009765625,4086.88691391032,4387.7331056209305,0,0,0,0,0,0,0
2023-06-15,^GSPC,4425.83984375,4250.663500976562,4083.1507893913176,4418.176212561807,1,0,0,1,0,1,0
2023-06-16,^GSPC,4409.58984375,4261.240502929688,4081.4515403498076,4441.029465509569,0,0,0,0,0,0,0
2023-06-20,^GSPC,4388.7099609375,4271.077001953125,4085.800170070701,4456.353833835548,0,0,0,0,0,0,0
2023-06-21,^GSPC,4365.68994140625,4279.730004882813,4093.7159620228203,4465.744047742805,0,0,0,0,0,0,0
2023-06-22,^GSPC,4381.89013671875,4291.5455078125,4111.4845928751865,4471.606422749813,0,0,0,0,0,0,0
2023-06-23,^GSPC,4348.330078125,4303.2,4142.001478138532,4464.398521861468,0,0,0,0,0,0,0
2023-06-26,^GSPC,4328.81982421875,4312.077001953125,4167.396463247767,4456.757540658482,0,0,0,0,0,0,0
2023-06-27,^GSPC,4378.41015625,4320.725,4182.340158351742,4459.109841648259,0,0,0,0,0,0,0
2023-06-28,^GSPC,4376.85986328125,4329.2919921875,4200.022547645,4458.56143673,0,0,0,0,0,0,0
2023-06-29,^GSPC,4396.43994140625,4340.122485351562,4228.484639642584,4451.760331060541,0,0,0,0,0,0,0
2023-06-30,^GSPC,4450.3798828125,4351.590478515625,4244.435607997115,4458.745349034136,0,0,0,0,0,0,0
2023-07-03,^GSPC,4455.58984375,4360.25146484375,4248.740836911774,4471.762092775726,0,0,0,0,0,0,0
2023-07-05,^GSPC,4446.81982421875,4368.9029541015625,4258.796801452915,4479.00910675021,0,0,0,0,0,0,0
2023-07-06,^GSPC,4411.58984375,4375.28994140625,4271.307864950322,4479.2720178621785,0,0,0,0,0,0,0
2023-07-07,^GSPC,4398.9501953125,4381.8614501953125,4290.739727020577,4472.983173370048,0,0,0,0,0,0,0
2023-07-10,^GSPC,4409.52978515625,4387.641430664063,4305.812965255105,4469.46989607302,0,0,0,0,0,0,0
2023-07-11,^GSPC,4439.259765625,4394.66142578125,4321.245245883193,4468.0776056793065,0,0,0,0,0,0,0
2023-07-12,^GSPC,4472.16015625,4401.322924804687,4325.0757324845645,4477.57011712481,0,0,0,0,0,0,0
2023-07-13,^GSPC,4510.0400390625,4408.374438476562,4319.645926623458,4497.102950329667,1,0,0,1,0,1,0
2023-07-14,^GSPC,4505.419921875,4415.015942382813,4318.061635163301,4511.970249602325,0,0,0,0,0,0,0
2023-07-17,^GSPC,4522.7900390625,4419.863452148437,4311.595960720242,4528.1309435766325,0,0,0,0,0,0,0
2023-07-18,^GSPC,4554.97998046875,4427.132958984375,4303.356589605617,4550.909328363134,1,0,0,1,0,1,0
2023-07-19,^GSPC,4565.72021484375,4435.983471679688,4299.149904016662,4572.8170393427135,0,0,0,0,0,0,0
2023-07-20,^GSPC,4534.8701171875,4444.44248046875,4305.013146128089,4583.87181480941,0,0,0,0,0,0,0
2023-07-21,^GSPC,4536.33984375,4452.164965820312,4310.236773728934,4594.0931579116905,0,0,0,0,0,0,0
2023-07-24,^GSPC,4554.64013671875,4462.48046875,4322.350123144149,4602.610814355851,0,0,0,0,0,0,0
2023-07-25,^GSPC,4567.4599609375,4474.4124755859375,4341.76215529434,4607.062795877535,0,0,0,0,0,0,0
2023-07-26,^GSPC,4566.75,4483.8294677734375,4353.148910077399,4614.510025469476,0,0,0,0,0,0,0
2023-07-27,^GSPC,4537.41015625,4491.856982421875,4369.37625326303,4614.33771158072,0,0,0,0,0,0,0
2023-07-28,^GSPC,4582.22998046875,4501.146484375,4380.976225376709,4621.316743373291,0,0,0,0,0,0,0
2023-07-31,^GSPC,4588.9599609375,4508.07548828125,4384.303227227004,4631.847749335496,0,0,0,0,0,0,0
