datetime,close,high_^mxx,low_^mxx,open_^mxx,volume_^mxx,rolling_mean,lower_band,upper_band,bandas_anom,if_anom,both_anom,bandas_only,if_only,combined_or,combined_and
2024-03-19,55548.0703125,56137.1484375,55494.1015625,56137.1484375,194973900,55833.1080078125,54361.76227748446,57304.453738140546,False,False,False,False,False,False,False
2024-03-20,56618.01171875,56921.9609375,55416.19140625,55543.69921875,172304700,55802.625,54431.052110618744,57174.197889381256,False,True,False,False,True,True,False
2024-03-21,56657.44140625,57015.8203125,56544.05078125,56715.25,197838300,55784.4455078125,54472.52884435379,57096.36217127122,False,False,False,False,False,False,False
2024-03-22,56610.5390625,56805.66015625,56517.3984375,56676.8203125,170059500,55757.5359375,54545.14205211143,56969.92982288857,False,False,False,False,False,False,False
2024-03-25,56552.5390625,56820.30078125,56311.98828125,56565.109375,89283000,55752.1728515625,54555.74018910885,56948.60551401615,False,False,False,False,False,False,False
2024-03-26,57209.69921875,57422.25,56435.26953125,56634.8515625,125010900,55802.921875,54451.39877542843,57154.44497457157,True,False,False,True,False,True,False
2024-03-27,57369.01171875,57599.078125,57007.55078125,57182.859375,114250800,55859.3208984375,54346.32454414067,57372.317252734334,False,False,False,False,False,False,False
2024-04-01,57653.23046875,57726.8203125,57291.94921875,57423.51171875,165028800,55974.451953125,54284.37432888091,57664.52957736908,False,False,False,False,False,False,False
2024-04-02,57581.80859375,57830.87890625,57235.58984375,57593.62109375,180753600,56082.8423828125,54270.47315359593,57895.211612029074,False,False,False,False,False,False,False
2024-04-03,57503.390625,58086.421875,57300.109375,57547.19140625,189285300,56181.1958984375,54282.27414269074,58080.117654184265,False,False,False,False,False,False,False
2024-04-04,57882.76171875,58219.5,57514.1796875,57539.46875,184739700,56302.2095703125,54290.98095184025,58313.438188784756,False,False,False,False,False,False,False
2024-04-05,58092.44140625,58227.83984375,57678.609375,57805.19140625,212252300,56433.019140625,54310.73434497496,58555.30393627504,False,False,False,False,False,False,False
2024-04-08,57989.94140625,58192.3203125,57749.44140625,58021.66015625,154641800,56568.290625,54409.664808022855,58726.91644197715,False,False,False,False,False,False,False
2024-04-09,57571.1484375,58298.76953125,57492.05859375,58010.37109375,202213300,56694.3736328125,54616.194497141754,58772.55276848325,False,False,False,False,False,False,False
2024-04-10,56636.5390625,57541.859375,56374.62890625,57541.859375,210376200,56779.401171875,54872.00462079151,58686.79772295849,False,False,False,False,False,False,False
2024-04-11,56830.3203125,56876.6484375,56485.9609375,56696.3203125,200968500,56867.1111328125,55136.34698128284,58597.87528434215,False,False,False,False,False,False,False
2024-04-12,56565.921875,57272.69921875,56497.87890625,56918.48046875,147838800,56950.459765625,55477.40705557606,58423.51247567393,False,False,False,False,False,False,False
2024-04-15,55984.0,56709.12109375,55924.1015625,56536.46875,170645700,56957.223828125,55504.368452738614,58410.07920351139,False,False,False,False,False,False,False
2024-04-16,55797.25,56148.0,55626.75,56009.73046875,225862900,56944.1232421875,55452.95504252361,58435.2914418514,False,False,False,False,False,False,False
2024-04-17,55415.69140625,56090.3203125,55383.25,55788.73828125,244258900,56903.487890625,55290.85130522878,58516.12447602122,False,False,False,False,False,False,False
2024-04-18,55739.4296875,55941.62109375,55585.8203125,55597.7890625,208671900,56913.055859375,55332.32462536671,58493.7870933833,False,False,False,False,False,False,False
2024-04-19,55862.8515625,56036.71875,55579.69140625,55811.19140625,138617600,56875.2978515625,55230.12993247448,58520.46577065052,False,False,False,False,False,False,False
2024-04-22,56551.8984375,56615.87890625,55771.55078125,55852.28125,183161700,56870.020703125,55221.237303235255,58518.80410301475,False,False,False,False,False,False,False
2024-04-23,56633.75,56906.80078125,56300.359375,56564.578125,204292000,56871.18125,55223.13436705837,58519.22813294164,False,False,False,False,False,False,False
2024-04-24,56463.98828125,56827.01953125,56188.890625,56622.16015625,254687400,56866.7537109375,55214.63168040723,58518.87574146777,False,False,False,False,False,False,False
2024-04-25,57071.78125,57282.328125,56207.44921875,56619.08984375,264895300,56859.8578125,55212.618794275455,58507.09683072454,False,False,False,False,False,False,False
2024-04-26,57833.8515625,58002.171875,56870.171875,57072.9609375,156980900,56883.0998046875,55193.05121362093,58573.14839575408,False,False,False,False,False,False,False
2024-04-29,57827.859375,58110.37109375,57512.6015625,57890.48828125,222976800,56891.83125,55183.3262227282,58600.3362772718,False,False,False,False,False,False,False
2024-04-30,56727.98046875,57835.5,56670.53125,57835.5,307132500,56849.13984375,55170.8244600338,58527.455227466206,False,True,False,False,True,True,False
2024-05-02,56677.05078125,57021.78125,56607.30078125,56766.3984375,249952200,56807.8228515625,55156.86104652213,58458.784656602875,False,False,False,False,False,False,False
2024-05-03,57135.26171875,57258.41015625,56668.73828125,56706.23046875,175056100,56770.4478515625,55189.592618725736,58351.30308439927,False,False,False,False,False,False,False
2024-05-06,57282.94921875,57559.08984375,57127.03125,57204.53125,174095400,56729.9732421875,55253.63585871071,58206.31062566429,False,False,False,False,False,False,False
